shipName,Classe,ano,mes,consumo_total,consumo_medio,num_viagens,distancia_total,duracao_total,consumo_por_milha,consumo_por_hora
RICARDO BARBOSA,Gaseiro 7k,2022,6,184.03,5.58,33,4754.0,407.67,0.0387,0.4514
RODRIGO PINHEIRO,Aframax,2022,6,457.4,16.94,27,4024.4,313.52,0.1137,1.4589
ROMARIO SILVA,MR 2,2022,6,526.81,13.86,38,4799.0,727.45,0.1098,0.7242
THIAGO FERNANDES,MR 2,2022,6,421.63,15.62,27,5121.0,374.48,0.0823,1.1259
TOTAL_FROTA,TODAS,2022,6,11713.25,21.34,549,96826.54,9312.69,0.121,1.2578
VICTOR OLIVEIRA,Suezmax,2022,6,519.82,28.88,18,3826.0,294.0,0.1359,1.7681
BRUNO LIMA,Gaseiro 7k,2022,7,145.18,4.84,30,4056.0,329.15,0.0358,0.4411
CARLA SILVA,Aframax,2022,7,154.0,12.83,12,1019.9,229.57,0.151,0.6708
DANIEL PEREIRA,Aframax,2022,7,335.0,37.22,9,2394.0,200.0,0.1399,1.675
EDUARDO COSTA,MR 2,2022,7,231.05,11.55,20,2466.0,205.09,0.0937,1.1266
FELIPE RIBEIRO,Suezmax,2022,7,603.8,20.82,29,3447.0,319.05,0.1752,1.8925
FÁBIO SANTOS,Gaseiro 7k,2022,7,218.22,5.9,37,5564.0,471.65,0.0392,0.4627
GABRIELA MARTINS,Aframax,2022,7,337.72,21.11,16,2866.6,229.12,0.1178,1.474
GISELLE CARVALHO,Suezmax,2022,7,1378.5,47.53,29,8511.0,634.2,0.162,2.1736
HENRIQUE ALVES,Suezmax,2022,7,1157.0,42.85,27,4964.0,619.1,0.2331,1.8688
LUCAS MENDONÇA,MR 2,2022,7,384.6,10.99,35,4547.44,391.94,0.0846,0.9813
MARCOS CAVALCANTI,Suezmax,2022,7,726.5,22.02,33,6278.5,616.56,0.1157,1.1783
MARIA VALENTINA,Gaseiro 7k,2022,7,196.16,5.45,36,5133.5,529.42,0.0382,0.3705
PAULO MOURA,Suezmax,2022,7,831.0,37.77,22,5454.0,499.0,0.1524,1.6653
RAFAEL SANTOS,Suezmax,2022,7,844.31,40.21,21,5692.0,413.0,0.1483,2.0443
RAUL MARTINS,Suezmax,2022,7,1245.25,36.62,34,8021.0,681.0,0.1552,1.8286
RENATO GOMES,Aframax,2022,7,655.32,28.49,23,4764.1,412.7,0.1376,1.5879
RICARDO BARBOSA,Gaseiro 7k,2022,7,102.27,5.68,18,2505.0,267.0,0.0408,0.383
RODRIGO PINHEIRO,Aframax,2022,7,1158.02,35.09,33,8087.5,704.1,0.1432,1.6447
ROMARIO SILVA,MR 2,2022,7,551.7,12.26,45,5289.5,780.7,0.1043,0.7067
THIAGO FERNANDES,MR 2,2022,7,383.75,12.38,31,4385.0,361.42,0.0875,1.0618
TOTAL_FROTA,TODAS,2022,7,12785.68,22.71,563,101516.04,9412.07,0.1259,1.3584
VICTOR OLIVEIRA,Suezmax,2022,7,1146.33,49.84,23,6070.0,518.3,0.1889,2.2117
BRUNO LIMA,Gaseiro 7k,2022,8,111.68,3.85,29,3168.0,254.49,0.0353,0.4388
CARLA SILVA,Aframax,2022,8,1033.0,34.43,30,6717.0,669.5,0.1538,1.5429
DANIEL PEREIRA,Aframax,2022,8,747.0,39.32,19,5802.0,484.13,0.1287,1.543
EDUARDO COSTA,MR 2,2022,8,287.24,13.68,21,3094.0,313.9,0.0928,0.9151
FELIPE RIBEIRO,Suezmax,2022,8,384.5,20.24,19,2165.0,182.23,0.1776,2.11
FÁBIO SANTOS,Gaseiro 7k,2022,8,125.87,7.4,17,3668.0,295.34,0.0343,0.4262
GABRIELA MARTINS,Aframax,2022,8,983.5,36.43,27,6586.0,580.49,0.1493,1.6943
GISELLE CARVALHO,Suezmax,2022,8,582.0,32.33,18,4437.0,332.39,0.1312,1.751
HENRIQUE ALVES,Suezmax,2022,8,1239.0,38.72,32,5526.5,633.9,0.2242,1.9546
LUCAS MENDONÇA,MR 2,2022,8,362.88,12.96,28,4729.5,378.8,0.0767,0.958
MARCOS CAVALCANTI,Suezmax,2022,8,1072.0,33.5,32,8168.0,742.6,0.1312,1.4436
MARIA VALENTINA,Gaseiro 7k,2022,8,130.13,3.34,39,3611.0,638.18,0.036,0.2039
PAULO MOURA,Suezmax,2022,8,535.5,35.7,15,3633.0,362.0,0.1474,1.4793
RAFAEL SANTOS,Suezmax,2022,8,1382.36,46.08,30,8307.0,658.55,0.1664,2.0991
RAUL MARTINS,Suezmax,2022,8,541.4,22.56,24,3734.7,348.75,0.145,1.5524
RENATO GOMES,Aframax,2022,8,916.65,27.78,33,6920.4,555.35,0.1325,1.6506
RICARDO BARBOSA,Gaseiro 7k,2022,8,208.28,7.18,29,4332.0,424.16,0.0481,0.491
RODRIGO PINHEIRO,Aframax,2022,8,362.0,15.08,24,2603.5,534.15,0.139,0.6777
ROMARIO SILVA,MR 2,2022,8,88.59,3.41,26,1110.54,150.41,0.0798,0.589
THIAGO FERNANDES,MR 2,2022,8,248.35,8.28,30,2987.0,251.05,0.0831,0.9892
TOTAL_FROTA,TODAS,2022,8,12097.51,22.12,547,97002.14,9334.04,0.1247,1.2961
VICTOR OLIVEIRA,Suezmax,2022,8,755.57,30.22,25,5702.0,543.67,0.1325,1.3898
BRUNO LIMA,Gaseiro 7k,2022,9,159.66,5.51,29,4556.48,354.49,0.035,0.4504
CARLA SILVA,Aframax,2022,9,964.8,34.46,28,6514.0,593.3,0.1481,1.6262
DANIEL PEREIRA,Aframax,2022,9,830.0,36.09,23,5712.2,501.1,0.1453,1.6564
EDUARDO COSTA,MR 2,2022,9,274.19,9.79,28,3037.0,242.05,0.0903,1.1328
FELIPE RIBEIRO,Suezmax,2022,9,1359.3,50.34,27,5962.0,581.9,0.228,2.336
FÁBIO SANTOS,Gaseiro 7k,2022,9,151.58,5.41,28,3847.0,311.74,0.0394,0.4862
GABRIELA MARTINS,Aframax,2022,9,368.1,19.37,19,3380.0,278.72,0.1089,1.3207
GISELLE CARVALHO,Suezmax,2022,9,374.0,26.71,14,1799.0,178.25,0.2079,2.0982
HENRIQUE ALVES,Suezmax,2022,9,401.0,25.06,16,1811.0,410.0,0.2214,0.978
LUCAS MENDONÇA,MR 2,2022,9,183.99,4.38,42,2433.0,197.43,0.0756,0.9319
MARCOS CAVALCANTI,Suezmax,2022,9,623.0,28.32,22,4082.0,465.07,0.1526,1.3396
MARIA VALENTINA,Gaseiro 7k,2022,9,107.86,3.85,28,2527.0,427.59,0.0427,0.2523
PAULO MOURA,Suezmax,2022,9,1210.0,41.72,29,7615.0,689.97,0.1589,1.7537
RAFAEL SANTOS,Suezmax,2022,9,462.5,20.11,23,3406.0,264.75,0.1358,1.7469
RAUL MARTINS,Suezmax,2022,9,979.9,32.66,30,5682.9,484.73,0.1724,2.0215
RENATO GOMES,Aframax,2022,9,679.13,24.25,28,5520.1,458.71,0.123,1.4805
RICARDO BARBOSA,Gaseiro 7k,2022,9,157.59,4.38,36,3552.0,478.43,0.0444,0.3294
RODRIGO PINHEIRO,Aframax,2022,9,626.32,22.37,28,5674.0,453.99,0.1104,1.3796
ROMARIO SILVA,MR 2,2022,9,185.5,10.31,18,2211.2,176.77,0.0839,1.0494
THIAGO FERNANDES,MR 2,2022,9,144.27,5.15,28,1553.0,220.93,0.0929,0.653
TOTAL_FROTA,TODAS,2022,9,11283.69,20.7,545,87415.88,8234.92,0.1291,1.3702
VICTOR OLIVEIRA,Suezmax,2022,9,1041.0,49.57,21,6541.0,465.0,0.1591,2.2387
BRUNO LIMA,Gaseiro 7k,2022,10,124.41,5.66,22,3788.0,292.08,0.0328,0.4259
CARLA SILVA,Aframax,2022,10,221.7,13.86,16,1650.0,144.55,0.1344,1.5337
DANIEL PEREIRA,Aframax,2022,10,422.0,22.21,19,3081.5,265.0,0.1369,1.5925
EDUARDO COSTA,MR 2,2022,10,110.93,5.84,19,1120.0,99.42,0.099,1.1158
FELIPE RIBEIRO,Suezmax,2022,10,1212.5,35.66,34,5605.0,542.1,0.2163,2.2367
FÁBIO SANTOS,Gaseiro 7k,2022,10,185.76,7.14,26,4636.0,369.27,0.0401,0.503
GABRIELA MARTINS,Aframax,2022,10,381.9,21.22,18,3678.0,311.07,0.1038,1.2277
GISELLE CARVALHO,Suezmax,2022,10,804.0,36.55,22,5941.0,429.66,0.1353,1.8712
LUCAS MENDONÇA,MR 2,2022,10,432.2,14.9,29,4433.0,330.57,0.0975,1.3074
MARCOS CAVALCANTI,Suezmax,2022,10,353.8,27.22,13,2369.0,236.0,0.1493,1.4992
MARIA VALENTINA,Gaseiro 7k,2022,10,232.16,6.83,34,5629.0,472.43,0.0412,0.4914
PAULO MOURA,Suezmax,2022,10,750.5,46.91,16,4304.0,379.58,0.1744,1.9772
RAFAEL SANTOS,Suezmax,2022,10,577.3,26.24,22,4130.1,332.83,0.1398,1.7345
RAUL MARTINS,Suezmax,2022,10,1307.7,42.18,31,7493.6,631.5,0.1745,2.0708
RENATO GOMES,Aframax,2022,10,354.8,25.34,14,2429.0,207.56,0.1461,1.7094
RICARDO BARBOSA,Gaseiro 7k,2022,10,168.72,4.22,40,5441.0,483.84,0.031,0.3487
RODRIGO PINHEIRO,Aframax,2022,10,991.82,34.2,29,7266.0,612.12,0.1365,1.6203
ROMARIO SILVA,MR 2,2022,10,327.6,8.4,39,4233.1,354.99,0.0774,0.9228
THIAGO FERNANDES,MR 2,2022,10,364.6,11.39,32,3760.0,343.12,0.097,1.0626
TOTAL_FROTA,TODAS,2022,10,9994.41,20.03,499,85216.3,7337.31,0.1173,1.3621
VICTOR OLIVEIRA,Suezmax,2022,10,670.0,27.92,24,4229.0,499.62,0.1584,1.341
BRUNO LIMA,Gaseiro 7k,2022,11,93.69,3.6,26,2573.06,256.57,0.0364,0.3652
CARLA SILVA,Aframax,2022,11,286.5,10.61,27,2239.0,232.44,0.128,1.2326
DANIEL PEREIRA,Aframax,2022,11,899.0,32.11,28,6405.0,509.4,0.1404,1.7648
EDUARDO COSTA,MR 2,2022,11,654.49,24.24,27,6770.0,508.85,0.0967,1.2862
FELIPE RIBEIRO,Suezmax,2022,11,922.0,40.09,23,4195.5,402.92,0.2198,2.2883
FÁBIO SANTOS,Gaseiro 7k,2022,11,137.85,3.83,36,4476.0,346.64,0.0308,0.3977
GABRIELA MARTINS,Aframax,2022,11,1182.7,39.42,30,8657.0,678.4,0.1366,1.7434
GISELLE CARVALHO,Suezmax,2022,11,1038.8,32.46,32,6560.05,567.76,0.1584,1.8296
HENRIQUE ALVES,Suezmax,2022,11,733.0,31.87,23,5851.5,497.6,0.1253,1.4731
LUCAS MENDONÇA,MR 2,2022,11,245.58,17.54,14,2540.0,187.23,0.0967,1.3116
MARCOS CAVALCANTI,Suezmax,2022,11,670.7,30.49,22,4843.5,387.1,0.1385,1.7326
MARIA VALENTINA,Gaseiro 7k,2022,11,129.71,6.18,21,3139.4,259.68,0.0413,0.4995
PAULO MOURA,Suezmax,2022,11,33.87,16.93,2,340.0,28.0,0.0996,1.2096
RAFAEL SANTOS,Suezmax,2022,11,471.05,29.44,16,3115.8,287.6,0.1512,1.6379
RAUL MARTINS,Suezmax,2022,11,130.1,10.84,12,969.1,83.5,0.1342,1.5581
RENATO GOMES,Aframax,2022,11,992.38,25.45,39,6919.1,598.53,0.1434,1.658
RICARDO BARBOSA,Gaseiro 7k,2022,11,204.6,7.87,26,5950.0,494.58,0.0344,0.4137
RODRIGO PINHEIRO,Aframax,2022,11,644.64,17.91,36,5686.5,474.01,0.1134,1.36
ROMARIO SILVA,MR 2,2022,11,295.42,10.55,28,3496.46,983.85,0.0845,0.3003
TOTAL_FROTA,TODAS,2022,11,10115.08,20.86,485,87452.47,8171.16,0.1157,1.2379
VICTOR OLIVEIRA,Suezmax,2022,11,349.0,20.53,17,2725.5,386.5,0.128,0.903
BRUNO LIMA,Gaseiro 7k,2022,12,133.39,5.34,25,4087.0,300.26,0.0326,0.4442
CARLA SILVA,Aframax,2022,12,38.1,3.18,12,309.0,29.6,0.1233,1.2872
DANIEL PEREIRA,Aframax,2022,12,220.0,9.57,23,2107.3,228.21,0.1044,0.964
EDUARDO COSTA,MR 2,2022,12,191.81,8.72,22,1778.0,170.35,0.1079,1.126
FELIPE RIBEIRO,Suezmax,2022,12,1351.6,51.98,26,6076.0,579.83,0.2224,2.331
FÁBIO SANTOS,Gaseiro 7k,2022,12,137.05,4.15,33,3808.0,323.51,0.036,0.4236
GABRIELA MARTINS,Aframax,2022,12,664.5,26.58,25,5018.0,493.12,0.1324,1.3475
GISELLE CARVALHO,Suezmax,2022,12,783.23,26.11,30,5025.5,544.64,0.1559,1.4381
HENRIQUE ALVES,Suezmax,2022,12,926.0,31.93,29,6494.6,531.8,0.1426,1.7413
LUCAS MENDONÇA,MR 2,2022,12,96.18,4.58,21,1098.1,103.39,0.0876,0.9303
MARCOS CAVALCANTI,Suezmax,2022,12,430.5,15.94,27,2751.0,302.96,0.1565,1.421
MARIA VALENTINA,Gaseiro 7k,2022,12,122.74,3.96,31,2763.0,328.75,0.0444,0.3734
PAULO MOURA,Suezmax,2022,12,938.5,39.1,24,6831.0,521.33,0.1374,1.8002
RAFAEL SANTOS,Suezmax,2022,12,778.38,26.84,29,5513.0,445.0,0.1412,1.7492
RAUL MARTINS,Suezmax,2022,12,150.1,25.02,6,1242.1,98.8,0.1208,1.5192
RENATO GOMES,Aframax,2022,12,470.24,19.59,24,3780.2,304.35,0.1244,1.5451
RICARDO BARBOSA,Gaseiro 7k,2022,12,159.1,4.82,33,3271.0,331.73,0.0486,0.4796
RODRIGO PINHEIRO,Aframax,2022,12,657.91,21.22,31,6205.5,503.9,0.106,1.3056
ROMARIO SILVA,MR 2,2022,12,362.05,12.93,28,3498.42,315.76,0.1035,1.1466
TOTAL_FROTA,TODAS,2022,12,8884.38,18.06,492,73243.72,6675.53,0.1213,1.3309
VICTOR OLIVEIRA,Suezmax,2022,12,273.0,21.0,13,1587.0,218.24,0.172,1.2509
BRUNO LIMA,Gaseiro 7k,2023,1,240.43,5.86,41,6710.0,541.42,0.0358,0.4441
CARLA SILVA,Aframax,2023,1,58.0,5.8,10,365.5,43.2,0.1587,1.3426
DANIEL PEREIRA,Aframax,2023,1,1157.0,39.9,29,7762.0,626.59,0.1491,1.8465
EDUARDO COSTA,MR 2,2023,1,262.31,8.46,31,3278.0,253.4,0.08,1.0352
FELIPE RIBEIRO,Suezmax,2023,1,957.0,36.81,26,5092.7,478.67,0.1879,1.9993
FÁBIO SANTOS,Gaseiro 7k,2023,1,204.69,6.02,34,5996.5,493.74,0.0341,0.4146
GABRIELA MARTINS,Aframax,2023,1,393.3,17.88,22,3292.0,322.32,0.1195,1.2202
GISELLE CARVALHO,Suezmax,2023,1,382.8,12.35,31,2492.5,270.22,0.1536,1.4166
HENRIQUE ALVES,Suezmax,2023,1,720.0,24.83,29,4980.0,415.28,0.1446,1.7338
LUCAS MENDONÇA,MR 2,2023,1,433.5,14.45,30,4178.3,325.44,0.1038,1.332
MARCOS CAVALCANTI,Suezmax,2023,1,545.0,20.19,27,4037.0,331.46,0.135,1.6442
MARIA VALENTINA,Gaseiro 7k,2023,1,101.98,2.91,35,3760.0,527.34,0.0271,0.1934
PAULO MOURA,Suezmax,2023,1,1155.0,39.83,29,8074.0,635.05,0.1431,1.8188
RAFAEL SANTOS,Suezmax,2023,1,714.0,28.56,25,5640.0,415.47,0.1266,1.7185
RAUL MARTINS,Suezmax,2023,1,181.0,7.54,24,1531.8,119.56,0.1182,1.5139
RENATO GOMES,Aframax,2023,1,996.66,27.68,36,8229.8,674.99,0.1211,1.4766
RICARDO BARBOSA,Gaseiro 7k,2023,1,168.18,5.26,32,3870.0,341.6,0.0435,0.4923
RODRIGO PINHEIRO,Aframax,2023,1,1190.81,37.21,32,9058.0,756.0,0.1315,1.5751
ROMARIO SILVA,MR 2,2023,1,234.96,15.66,15,3032.0,226.4,0.0775,1.0378
THIAGO FERNANDES,MR 2,2023,1,98.21,7.02,14,1088.5,88.35,0.0902,1.1116
TOTAL_FROTA,TODAS,2023,1,11196.32,19.07,587,98231.89,8421.62,0.114,1.3295
VICTOR OLIVEIRA,Suezmax,2023,1,1001.5,28.61,35,5763.29,535.12,0.1738,1.8715
BRUNO LIMA,Gaseiro 7k,2023,2,109.31,4.37,25,2921.0,254.62,0.0374,0.4293
CARLA SILVA,Aframax,2023,2,63.4,4.53,14,581.0,65.1,0.1091,0.9739
DANIEL PEREIRA,Aframax,2023,2,206.0,29.43,7,1586.0,137.33,0.1299,1.5
EDUARDO COSTA,MR 2,2023,2,94.48,5.56,17,1587.0,112.65,0.0595,0.8387
FELIPE RIBEIRO,Suezmax,2023,2,855.0,35.62,24,4950.0,533.7,0.1727,1.602
FÁBIO SANTOS,Gaseiro 7k,2023,2,201.05,6.49,31,5182.0,421.98,0.0388,0.4764
GABRIELA MARTINS,Aframax,2023,2,524.1,21.84,24,3655.0,412.46,0.1434,1.2707
GISELLE CARVALHO,Suezmax,2023,2,663.11,22.1,30,4504.6,352.75,0.1472,1.8798
HENRIQUE ALVES,Suezmax,2023,2,579.5,23.18,25,4460.0,331.13,0.1299,1.7501
LUCAS MENDONÇA,MR 2,2023,2,302.8,10.81,28,2979.7,257.27,0.1016,1.177
MARCOS CAVALCANTI,Suezmax,2023,2,748.0,29.92,25,5777.0,526.63,0.1295,1.4204
MARIA VALENTINA,Gaseiro 7k,2023,2,183.56,4.59,40,5354.0,569.41,0.0343,0.3224
PAULO MOURA,Suezmax,2023,2,922.0,38.42,24,6374.0,515.2,0.1447,1.7896
RAFAEL SANTOS,Suezmax,2023,2,504.6,33.64,15,3314.0,309.02,0.1523,1.6329
RAUL MARTINS,Suezmax,2023,2,883.0,40.14,22,4962.0,393.56,0.178,2.2436
RENATO GOMES,Aframax,2023,2,313.7,17.43,18,2818.5,251.38,0.1113,1.2479
RICARDO BARBOSA,Gaseiro 7k,2023,2,90.78,5.04,18,2560.0,364.42,0.0355,0.2491
RODRIGO PINHEIRO,Aframax,2023,2,379.0,13.54,28,3464.5,282.67,0.1094,1.3408
ROMARIO SILVA,MR 2,2023,2,129.0,6.79,19,1169.0,115.74,0.1104,1.1146
THIAGO FERNANDES,MR 2,2023,2,142.7,7.93,18,1658.0,127.45,0.0861,1.1197
TOTAL_FROTA,TODAS,2023,2,8563.58,17.99,476,73992.3,6886.57,0.1157,1.2435
VICTOR OLIVEIRA,Suezmax,2023,2,668.5,27.85,24,4135.0,552.1,0.1617,1.2108
BRUNO LIMA,Gaseiro 7k,2023,3,200.58,4.66,43,5660.75,476.22,0.0354,0.4212
CARLA SILVA,Aframax,2023,3,77.4,7.04,11,534.0,54.18,0.1449,1.4286
DANIEL PEREIRA,Aframax,2023,3,1260.0,42.0,30,7568.0,683.42,0.1665,1.8437
EDUARDO COSTA,MR 2,2023,3,132.6,11.05,12,1672.75,135.25,0.0793,0.9804
FELIPE RIBEIRO,Suezmax,2023,3,1322.3,37.78,35,6567.0,593.17,0.2014,2.2292
FÁBIO SANTOS,Gaseiro 7k,2023,3,146.21,5.22,28,4026.0,347.08,0.0363,0.4213
GABRIELA MARTINS,Aframax,2023,3,805.7,26.86,30,6210.5,583.97,0.1297,1.3797
GISELLE CARVALHO,Suezmax,2023,3,1044.0,37.29,28,6802.0,517.5,0.1535,2.0174
HENRIQUE ALVES,Suezmax,2023,3,355.0,10.76,33,2455.5,309.9,0.1446,1.1455
LUCAS MENDONÇA,MR 2,2023,3,256.55,10.26,25,2660.0,220.91,0.0964,1.1613
MARCOS CAVALCANTI,Suezmax,2023,3,869.0,26.33,33,5656.0,531.01,0.1536,1.6365
MARIA VALENTINA,Gaseiro 7k,2023,3,92.45,3.7,25,2551.0,304.51,0.0362,0.3036
PAULO MOURA,Suezmax,2023,3,382.33,27.31,14,2288.0,199.2,0.1671,1.9193
RAFAEL SANTOS,Suezmax,2023,3,893.6,44.68,20,5757.0,423.39,0.1552,2.1106
RAUL MARTINS,Suezmax,2023,3,826.6,41.33,20,4688.0,365.07,0.1763,2.2642
RENATO GOMES,Aframax,2023,3,1114.75,34.84,32,8655.0,741.9,0.1288,1.5026
RICARDO BARBOSA,Gaseiro 7k,2023,3,176.04,5.5,32,4944.0,590.89,0.0356,0.2979
RODRIGO PINHEIRO,Aframax,2023,3,911.36,30.38,30,6999.5,564.57,0.1302,1.6143
ROMARIO SILVA,MR 2,2023,3,65.0,10.83,6,738.0,57.59,0.0881,1.1287
THIAGO FERNANDES,MR 2,2023,3,320.65,13.94,23,3716.0,316.18,0.0863,1.0141
TOTAL_FROTA,TODAS,2023,3,12275.06,22.86,537,95412.0,8714.41,0.1287,1.4086
VICTOR OLIVEIRA,Suezmax,2023,3,1022.94,37.89,27,5263.0,698.5,0.1944,1.4645
BRUNO LIMA,Gaseiro 7k,2023,4,147.88,4.35,34,4159.9,337.91,0.0355,0.4376
CARLA SILVA,Aframax,2023,4,47.4,4.31,11,444.0,44.23,0.1068,1.0717
DANIEL PEREIRA,Aframax,2023,4,457.0,22.85,20,3803.0,293.97,0.1202,1.5546
EDUARDO COSTA,MR 2,2023,4,223.85,9.33,24,2351.0,234.77,0.0952,0.9535
FELIPE RIBEIRO,Suezmax,2023,4,988.4,31.88,31,5017.0,690.6,0.197,1.4312
FÁBIO SANTOS,Gaseiro 7k,2023,4,296.51,12.35,24,3085.0,246.98,0.0961,1.2005
GABRIELA MARTINS,Aframax,2023,4,581.5,21.54,27,5382.0,426.77,0.108,1.3626
GISELLE CARVALHO,Suezmax,2023,4,342.5,12.69,27,2406.0,182.56,0.1424,1.8761
HENRIQUE ALVES,Suezmax,2023,4,327.0,12.11,27,2221.8,280.66,0.1472,1.1651
LUCAS MENDONÇA,MR 2,2023,4,279.14,8.21,34,2861.0,306.43,0.0976,0.9109
MARCOS CAVALCANTI,Suezmax,2023,4,641.0,33.74,19,4927.0,397.47,0.1301,1.6127
MARIA VALENTINA,Gaseiro 7k,2023,4,96.85,4.4,22,2548.0,208.66,0.038,0.4642
PAULO MOURA,Suezmax,2023,4,1081.35,34.88,31,7984.0,609.4,0.1354,1.7745
RAFAEL SANTOS,Suezmax,2023,4,776.0,31.04,25,4778.0,424.58,0.1624,1.8277
RAUL MARTINS,Suezmax,2023,4,1123.0,41.59,27,6426.0,575.84,0.1748,1.9502
RENATO GOMES,Aframax,2023,4,400.45,20.02,20,3709.0,290.36,0.108,1.3792
RICARDO BARBOSA,Gaseiro 7k,2023,4,159.64,5.91,27,4428.0,363.92,0.0361,0.4387
RODRIGO PINHEIRO,Aframax,2023,4,468.49,21.3,22,3631.0,313.3,0.129,1.4953
THIAGO FERNANDES,MR 2,2023,4,186.5,13.32,14,2288.0,174.34,0.0815,1.0697
TOTAL_FROTA,TODAS,2023,4,9313.96,19.16,486,76327.7,6924.65,0.122,1.345
VICTOR OLIVEIRA,Suezmax,2023,4,689.5,34.48,20,3878.0,521.9,0.1778,1.3211
BRUNO LIMA,Gaseiro 7k,2023,5,166.6,4.63,36,4879.1,391.9,0.0341,0.4251
CARLA SILVA,Aframax,2023,5,34.15,3.1,11,349.4,28.27,0.0977,1.208
DANIEL PEREIRA,Aframax,2023,5,936.0,33.43,28,6690.0,564.14,0.1399,1.6592
EDUARDO COSTA,MR 2,2023,5,223.18,9.3,24,2171.0,183.87,0.1028,1.2138
FELIPE RIBEIRO,Suezmax,2023,5,799.0,33.29,24,3562.0,322.6,0.2243,2.4768
FÁBIO SANTOS,Gaseiro 7k,2023,5,114.17,3.94,29,3759.0,305.87,0.0304,0.3733
GABRIELA MARTINS,Aframax,2023,5,605.2,30.26,20,4418.0,376.92,0.137,1.6056
GISELLE CARVALHO,Suezmax,2023,5,376.7,12.99,29,2832.0,218.54,0.133,1.7237
HENRIQUE ALVES,Suezmax,2023,5,1299.0,43.3,30,8128.0,653.93,0.1598,1.9865
LUCAS MENDONÇA,MR 2,2023,5,386.87,12.09,32,4418.0,390.0,0.0876,0.992
MARCOS CAVALCANTI,Suezmax,2023,5,375.5,15.65,24,2879.0,345.66,0.1304,1.0863
MARIA VALENTINA,Gaseiro 7k,2023,5,100.24,5.01,20,2531.0,221.62,0.0396,0.4523
PAULO MOURA,Suezmax,2023,5,650.0,30.95,21,4084.0,355.98,0.1592,1.8259
RAFAEL SANTOS,Suezmax,2023,5,841.0,29.0,29,5610.0,454.67,0.1499,1.8497
RAUL MARTINS,Suezmax,2023,5,838.4,29.94,28,5456.4,471.2,0.1537,1.7793
RENATO GOMES,Aframax,2023,5,922.0,26.34,35,8031.0,666.2,0.1148,1.384
RICARDO BARBOSA,Gaseiro 7k,2023,5,102.23,3.79,27,2809.0,230.77,0.0364,0.443
RODRIGO PINHEIRO,Aframax,2023,5,797.2,24.16,33,7463.0,614.14,0.1068,1.2981
ROMARIO SILVA,MR 2,2023,5,2.5,1.25,2,32.0,6.0,0.0781,0.4167
THIAGO FERNANDES,MR 2,2023,5,172.49,5.75,30,2233.0,196.45,0.0772,0.878
TOTAL_FROTA,TODAS,2023,5,10446.94,19.79,528,85818.9,7501.56,0.1217,1.3926
VICTOR OLIVEIRA,Suezmax,2023,5,704.5,44.03,16,3484.0,502.83,0.2022,1.4011
BRUNO LIMA,Gaseiro 7k,2023,6,92.6,4.03,23,2567.19,220.26,0.0361,0.4204
CARLA SILVA,Aframax,2023,6,22.4,3.2,7,198.0,17.7,0.1131,1.2655
DANIEL PEREIRA,Aframax,2023,6,704.0,26.07,27,5026.0,430.23,0.1401,1.6363
EDUARDO COSTA,MR 2,2023,6,287.07,12.48,23,3533.0,294.75,0.0813,0.9739
FELIPE RIBEIRO,Suezmax,2023,6,981.62,28.87,34,5160.0,448.7,0.1902,2.1877
FÁBIO SANTOS,Gaseiro 7k,2023,6,118.96,4.25,28,3165.0,341.9,0.0376,0.3479
GABRIELA MARTINS,Aframax,2023,6,828.46,30.68,27,6193.0,541.35,0.1338,1.5304
GISELLE CARVALHO,Suezmax,2023,6,1083.8,33.87,32,7414.0,575.58,0.1462,1.883
HENRIQUE ALVES,Suezmax,2023,6,671.0,23.14,29,4417.3,356.6,0.1519,1.8817
LUCAS MENDONÇA,MR 2,2023,6,471.33,13.47,35,4309.0,432.5,0.1094,1.0898
MARCOS CAVALCANTI,Suezmax,2023,6,619.0,19.97,31,4202.0,405.0,0.1473,1.5284
MARIA VALENTINA,Gaseiro 7k,2023,6,15.47,1.72,9,419.0,84.91,0.0369,0.1822
PAULO MOURA,Suezmax,2023,6,573.5,22.06,26,4307.1,352.2,0.1332,1.6283
RAFAEL SANTOS,Suezmax,2023,6,870.5,22.32,39,6340.0,488.9,0.1373,1.7805
RAUL MARTINS,Suezmax,2023,6,1181.75,38.12,31,6415.1,597.0,0.1842,1.9795
RENATO GOMES,Aframax,2023,6,392.09,24.51,16,3329.0,337.2,0.1178,1.1628
RICARDO BARBOSA,Gaseiro 7k,2023,6,189.51,7.02,27,4352.0,376.43,0.0435,0.5034
RODRIGO PINHEIRO,Aframax,2023,6,707.91,30.78,23,4886.0,417.6,0.1449,1.6952
ROMARIO SILVA,MR 2,2023,6,117.5,7.34,16,1538.0,122.09,0.0764,0.9624
THIAGO FERNANDES,MR 2,2023,6,403.18,12.6,32,5043.0,371.49,0.0799,1.0853
TOTAL_FROTA,TODAS,2023,6,10331.65,20.06,515,82813.69,7212.39,0.1248,1.4325
BRUNO LIMA,Gaseiro 7k,2023,7,160.9,4.23,38,5145.0,400.91,0.0313,0.4013
CARLA SILVA,Aframax,2023,7,243.4,16.23,15,2061.0,182.1,0.1181,1.3366
DANIEL PEREIRA,Aframax,2023,7,1017.75,30.84,33,7170.0,651.76,0.1419,1.5615
EDUARDO COSTA,MR 2,2023,7,136.1,8.51,16,1871.0,163.67,0.0727,0.8316
