shipName,Classe,ano,mes,consumo_por_milha,consumo_por_hora,consumo_por_displacement,eficiencia_transporte,consumo_ton,distance,duration
THIAGO FERNANDES,MR 2,2022,5,0.0969,1.0844,0.4602,11.461,359.85,4324.0,324.26
TOTAL_FROTA,TODAS,2022,5,0.1766,1.3414,0.3765,12.4094,9595.404,86384.6,7249.44
VICTOR OLIVEIRA,Suezmax,2022,5,0.17,2.1059,0.4196,6.1691,651.63,3812.0,310.17
BRUNO LIMA,Gaseiro 7k,2022,6,0.0526,0.4497,0.5153,23.3515,140.64,3884.0,312.91
CARLA SILVA,Aframax,2022,6,0.1573,1.6538,0.3176,6.4161,1184.0,7515.0,714.0
DANIEL PEREIRA,Aframax,2022,6,0.1507,1.6745,0.3153,6.7725,1041.0,6728.0,591.16
EDUARDO COSTA,MR 2,2022,6,0.2709,1.0873,0.4477,6.9291,305.0,3460.0,277.09
FELIPE RIBEIRO,Suezmax,2022,6,0.2872,2.0398,0.1832,4.5268,337.1,1934.5,170.63
FÁBIO SANTOS,Gaseiro 7k,2022,6,0.0417,0.3697,0.4763,27.1159,117.4,3307.0,288.72
GABRIELA MARTINS,Aframax,2022,6,0.1369,1.6841,0.3198,8.039,1232.0,8773.0,706.0
GISELLE CARVALHO,Suezmax,2022,6,0.1645,1.9837,0.4427,6.8513,1071.0,6796.0,524.96
HENRIQUE ALVES,Suezmax,2022,6,0.4196,2.2315,0.2653,3.78,599.0,2785.0,299.0
LUCAS MENDONÇA,MR 2,2022,6,0.185,1.1172,0.2649,7.5707,245.05,2185.5,205.1
MARCOS CAVALCANTI,Suezmax,2022,6,0.1779,1.6383,0.3819,7.4214,871.82,6082.0,543.81
MARIA VALENTINA,Gaseiro 7k,2022,6,0.0577,0.4992,0.5023,22.337,141.68,3706.0,288.12
PAULO MOURA,Suezmax,2022,6,0.1175,1.3588,0.2987,9.6857,266.7,2041.0,174.9
RAFAEL SANTOS,Suezmax,2022,6,0.1285,1.2946,0.2498,10.7484,215.0,2291.0,216.7
RAUL MARTINS,Suezmax,2022,6,0.1519,1.8465,0.3635,7.2877,1212.0,7934.5,627.75
RENATO GOMES,Aframax,2022,6,0.2485,1.273,0.1477,6.5343,593.1675,4879.64,517.67
RICARDO BARBOSA,Gaseiro 7k,2022,6,0.0511,0.4399,0.6242,23.4715,184.029,4754.0,407.67
RODRIGO PINHEIRO,Aframax,2022,6,0.2221,1.6354,0.2908,8.7436,457.4,4024.4,313.52
ROMARIO SILVA,MR 2,2022,6,0.2339,1.5317,0.3555,11.1873,465.21,4799.0,375.0
THIAGO FERNANDES,MR 2,2022,6,0.1114,1.254,0.3983,14.5377,421.63,5121.0,374.48
TOTAL_FROTA,TODAS,2022,6,0.1629,1.3352,0.3684,12.1706,11620.6465,96826.54,8223.19
VICTOR OLIVEIRA,Suezmax,2022,6,0.1346,1.7455,0.2945,23.5222,519.82,3826.0,294.0
BRUNO LIMA,Gaseiro 7k,2022,7,0.0456,0.3976,0.5726,25.9629,145.18,4056.0,329.15
CARLA SILVA,Aframax,2022,7,0.3786,1.7214,0.2084,7.0371,115.0,1019.9,99.97
DANIEL PEREIRA,Aframax,2022,7,0.1405,1.6806,0.2815,7.1741,335.0,2394.0,200.0
EDUARDO COSTA,MR 2,2022,7,0.2202,1.1291,0.2825,6.6888,231.05,2466.0,205.09
FELIPE RIBEIRO,Suezmax,2022,7,0.2912,1.9364,0.226,4.6489,603.8,3447.0,319.05
FÁBIO SANTOS,Gaseiro 7k,2022,7,0.0408,0.4132,0.6362,26.5724,218.22,5564.0,471.65
GABRIELA MARTINS,Aframax,2022,7,0.1087,1.1902,0.2742,17.3777,337.72,2866.6,229.12
GISELLE CARVALHO,Suezmax,2022,7,0.1588,2.0535,0.277,6.9183,1378.5,8511.0,634.2
HENRIQUE ALVES,Suezmax,2022,7,0.2735,2.0702,0.2466,4.0478,1150.0,4964.0,551.1
LUCAS MENDONÇA,MR 2,2022,7,0.1501,0.9705,0.2922,9.9701,384.6,4547.44,391.94
MARCOS CAVALCANTI,Suezmax,2022,7,0.1601,1.4157,0.2924,8.6653,710.5,6278.5,578.36
MARIA VALENTINA,Gaseiro 7k,2022,7,0.0566,0.4648,0.6711,22.8931,194.665,5133.5,408.34
PAULO MOURA,Suezmax,2022,7,0.1506,1.6126,0.2517,7.5571,831.0,5454.0,499.0
RAFAEL SANTOS,Suezmax,2022,7,0.1492,2.0306,0.5546,7.1377,844.31,5692.0,413.0
RAUL MARTINS,Suezmax,2022,7,0.1645,1.7126,0.2273,9.0041,1245.25,8021.0,681.0
RENATO GOMES,Aframax,2022,7,0.1901,1.6669,0.4474,7.2507,655.315,4764.1,412.7
RICARDO BARBOSA,Gaseiro 7k,2022,7,0.0511,0.3928,0.6291,23.1771,102.272,2505.0,267.0
RODRIGO PINHEIRO,Aframax,2022,7,0.2166,1.6707,0.2906,6.5463,1158.02,8087.5,704.1
ROMARIO SILVA,MR 2,2022,7,0.1337,1.146,0.4371,9.4377,503.9,5289.5,460.09
THIAGO FERNANDES,MR 2,2022,7,0.1474,1.0523,0.3209,9.4273,383.75,4385.0,361.42
TOTAL_FROTA,TODAS,2022,7,0.1541,1.3267,0.382,11.5726,12649.382,101516.04,8722.28
VICTOR OLIVEIRA,Suezmax,2022,7,0.1839,2.1993,0.387,5.5184,1121.33,6070.0,506.0
BRUNO LIMA,Gaseiro 7k,2022,8,0.04,0.3936,0.4474,26.002,111.681,3168.0,254.49
CARLA SILVA,Aframax,2022,8,0.1796,1.7042,0.3965,6.922,1033.0,6717.0,669.5
DANIEL PEREIRA,Aframax,2022,8,0.1897,1.8693,0.4627,8.0711,747.0,5802.0,484.13
EDUARDO COSTA,MR 2,2022,8,0.2211,1.1626,0.4194,8.3064,267.245,3094.0,232.73
FELIPE RIBEIRO,Suezmax,2022,8,0.3676,2.0578,0.1881,4.4229,384.5,2165.0,182.23
FÁBIO SANTOS,Gaseiro 7k,2022,8,0.0367,0.4167,0.8103,29.3543,125.87,3668.0,295.34
GABRIELA MARTINS,Aframax,2022,8,0.1377,1.5407,0.2932,10.4177,983.5,6586.0,580.49
GISELLE CARVALHO,Suezmax,2022,8,0.2376,2.105,0.4124,7.8384,582.0,4437.0,332.39
HENRIQUE ALVES,Suezmax,2022,8,0.4107,2.2539,0.2723,4.0371,1239.0,5526.5,633.9
LUCAS MENDONÇA,MR 2,2022,8,0.1745,0.9261,0.3638,10.7107,362.882,4729.5,378.8
MARCOS CAVALCANTI,Suezmax,2022,8,0.132,1.4366,0.1964,7.98,1072.0,8168.0,742.6
MARIA VALENTINA,Gaseiro 7k,2022,8,0.0582,0.3948,0.4539,25.5799,122.531,3611.0,326.17
PAULO MOURA,Suezmax,2022,8,0.1469,1.6977,0.2373,6.8424,533.0,3633.0,314.0
RAFAEL SANTOS,Suezmax,2022,8,0.2574,2.2462,0.2754,5.8227,1382.36,8307.0,658.55
RAUL MARTINS,Suezmax,2022,8,0.1826,1.6054,0.1675,6.82,537.4,3734.7,313.83
RENATO GOMES,Aframax,2022,8,0.1773,1.5957,0.2601,6.84,916.6477,6920.4,555.35
RICARDO BARBOSA,Gaseiro 7k,2022,8,0.2254,0.5816,0.8124,20.1539,208.283,4332.0,424.16
RODRIGO PINHEIRO,Aframax,2022,8,0.3911,2.2719,0.1689,5.0942,353.6,2603.5,211.07
ROMARIO SILVA,MR 2,2022,8,0.1013,0.7883,0.1038,13.1615,81.18,1110.54,91.99
THIAGO FERNANDES,MR 2,2022,8,0.153,1.0331,0.2151,11.1033,248.35,2987.0,251.05
TOTAL_FROTA,TODAS,2022,8,0.1858,1.3774,0.3466,11.2894,12043.5997,97002.14,8474.27
VICTOR OLIVEIRA,Suezmax,2022,8,0.1313,1.4246,0.3562,8.343,751.57,5702.0,541.5
BRUNO LIMA,Gaseiro 7k,2022,9,0.0464,0.409,0.6758,25.2749,159.66,4556.48,354.49
CARLA SILVA,Aframax,2022,9,0.1798,1.5918,0.3012,6.5752,964.8,6514.0,593.3
DANIEL PEREIRA,Aframax,2022,9,0.5713,1.5826,0.2859,7.0006,830.0,5712.2,501.1
EDUARDO COSTA,MR 2,2022,9,0.1766,1.1449,0.2396,7.8506,274.19,3037.0,242.05
FELIPE RIBEIRO,Suezmax,2022,9,0.2325,2.3379,0.319,4.3467,1359.3,5962.0,581.9
FÁBIO SANTOS,Gaseiro 7k,2022,9,0.0427,0.4711,0.605,25.8451,151.58,3847.0,311.74
GABRIELA MARTINS,Aframax,2022,9,0.1301,1.1517,0.1819,8.3682,368.1,3380.0,278.72
GISELLE CARVALHO,Suezmax,2022,9,0.5101,5.1819,0.3213,4.1118,374.0,1799.0,178.25
HENRIQUE ALVES,Suezmax,2022,9,0.221,1.4499,0.3376,4.7135,397.0,1811.0,270.1
LUCAS MENDONÇA,MR 2,2022,9,0.1363,0.8871,0.1468,10.8438,183.99,2433.0,197.43
MARCOS CAVALCANTI,Suezmax,2022,9,0.171,1.5311,0.1871,6.306,610.0,4082.0,367.17
MARIA VALENTINA,Gaseiro 7k,2022,9,0.0566,0.4717,0.489,20.8214,106.365,2527.0,224.5
PAULO MOURA,Suezmax,2022,9,0.1557,1.8457,0.2588,6.6614,1209.0,7615.0,636.47
RAFAEL SANTOS,Suezmax,2022,9,0.3187,1.8215,0.1647,5.6065,462.5,3406.0,264.75
RAUL MARTINS,Suezmax,2022,9,0.1844,1.8069,0.2148,8.8934,979.9,5682.9,484.73
RENATO GOMES,Aframax,2022,9,0.1964,1.4545,0.3675,7.1475,679.1251,5520.1,458.71
RICARDO BARBOSA,Gaseiro 7k,2022,9,0.058,0.4881,0.5305,19.6412,154.009,3552.0,299.84
RODRIGO PINHEIRO,Aframax,2022,9,0.2828,1.5217,0.2873,7.6369,626.32,5674.0,453.99
ROMARIO SILVA,MR 2,2022,9,0.0956,0.9111,0.3036,13.1564,185.5,2211.2,176.77
THIAGO FERNANDES,MR 2,2022,9,0.1637,1.1186,0.1294,8.3455,141.87,1553.0,135.02
TOTAL_FROTA,TODAS,2022,9,0.1823,1.3803,0.3205,10.8432,11258.2091,87415.88,7476.03
VICTOR OLIVEIRA,Suezmax,2022,9,0.161,2.2417,0.3049,6.3009,1041.0,6541.0,465.0
BRUNO LIMA,Gaseiro 7k,2022,10,0.0383,0.383,0.6408,29.1942,124.41,3788.0,292.08
CARLA SILVA,Aframax,2022,10,0.1909,1.3905,0.1295,5.9382,221.7,1650.0,144.55
DANIEL PEREIRA,Aframax,2022,10,0.2218,1.6255,0.1891,6.9082,422.0,3081.5,265.0
EDUARDO COSTA,MR 2,2022,10,0.2553,1.1371,0.1508,6.8519,110.93,1120.0,99.42
FELIPE RIBEIRO,Suezmax,2022,10,0.2966,2.152,0.3191,4.0452,1212.5,5605.0,542.1
FÁBIO SANTOS,Gaseiro 7k,2022,10,0.0483,0.4713,0.8853,25.2239,185.765,4636.0,369.27
GABRIELA MARTINS,Aframax,2022,10,0.115,1.1112,0.3803,11.0731,381.9,3678.0,311.07
GISELLE CARVALHO,Suezmax,2022,10,0.1775,2.0711,0.4413,7.2009,804.0,5941.0,429.66
LUCAS MENDONÇA,MR 2,2022,10,0.1375,1.4838,0.4306,9.6649,432.2,4433.0,330.57
MARCOS CAVALCANTI,Suezmax,2022,10,0.1696,1.5472,0.1826,7.0031,345.8,2369.0,200.6
MARIA VALENTINA,Gaseiro 7k,2022,10,0.0505,0.4939,0.7661,21.35,232.165,5629.0,472.43
PAULO MOURA,Suezmax,2022,10,0.176,1.9786,0.2799,5.7391,750.5,4304.0,379.58
RAFAEL SANTOS,Suezmax,2022,10,0.174,1.6696,0.1933,7.1369,577.3,4130.1,332.83
RAUL MARTINS,Suezmax,2022,10,0.1976,2.0669,0.2338,6.1913,1307.7,7493.6,631.5
RENATO GOMES,Aframax,2022,10,0.2448,1.5592,0.2015,6.1861,354.8,2429.0,207.56
RICARDO BARBOSA,Gaseiro 7k,2022,10,0.0396,0.346,0.4749,31.2991,168.718,5441.0,483.84
RODRIGO PINHEIRO,Aframax,2022,10,0.1711,1.6167,0.2575,6.959,991.82,7266.0,612.12
ROMARIO SILVA,MR 2,2022,10,0.1413,0.8791,0.1917,11.5852,327.6,4233.1,354.99
THIAGO FERNANDES,MR 2,2022,10,0.3372,1.0748,0.3213,8.0068,364.6,3760.0,343.12
TOTAL_FROTA,TODAS,2022,10,0.1624,1.2792,0.3699,12.351,9947.908,85216.3,7143.24
VICTOR OLIVEIRA,Suezmax,2022,10,0.1593,1.9272,0.2665,7.339,631.5,4229.0,340.95
BRUNO LIMA,Gaseiro 7k,2022,11,0.0504,0.3926,0.4157,26.8689,90.09,2573.06,208.57
CARLA SILVA,Aframax,2022,11,0.2551,1.2565,0.1239,7.5455,286.5,2239.0,232.44
DANIEL PEREIRA,Aframax,2022,11,0.1394,1.6473,0.2528,7.3394,899.0,6405.0,509.4
EDUARDO COSTA,MR 2,2022,11,1.6686,5.2728,0.6619,7.2685,654.49,6770.0,508.85
FELIPE RIBEIRO,Suezmax,2022,11,0.2804,2.3972,0.3313,4.586,922.0,4195.5,402.92
FÁBIO SANTOS,Gaseiro 7k,2022,11,0.0436,0.3679,0.4634,32.4603,137.85,4476.0,346.64
GABRIELA MARTINS,Aframax,2022,11,0.1412,1.694,0.3082,7.6287,1182.7,8657.0,678.4
GISELLE CARVALHO,Suezmax,2022,11,0.1843,1.7017,0.3966,7.0381,1038.8,6560.05,567.76
HENRIQUE ALVES,Suezmax,2022,11,0.1389,1.6992,0.394,7.846,728.0,5851.5,424.1
LUCAS MENDONÇA,MR 2,2022,11,0.9463,2.7172,0.5804,10.4661,245.58,2540.0,187.23
MARCOS CAVALCANTI,Suezmax,2022,11,0.2256,1.6591,0.3869,6.9515,670.7,4843.5,387.1
MARIA VALENTINA,Gaseiro 7k,2022,11,0.0545,0.4987,0.6856,20.8201,129.71,3139.4,259.68
PAULO MOURA,Suezmax,2022,11,0.0984,1.1088,0.2148,10.168,33.87,340.0,28.0
RAFAEL SANTOS,Suezmax,2022,11,0.1734,1.5904,0.3862,6.191,471.05,3115.8,287.6
RAUL MARTINS,Suezmax,2022,11,0.1487,1.4416,0.1381,9.4236,130.1,969.1,83.5
RENATO GOMES,Aframax,2022,11,0.3648,1.6872,0.2024,5.5705,992.3774,6919.1,598.53
RICARDO BARBOSA,Gaseiro 7k,2022,11,0.0516,0.5055,0.8752,35.8906,204.6,5950.0,494.58
RODRIGO PINHEIRO,Aframax,2022,11,0.1393,1.0846,0.2327,10.1495,644.64,5686.5,474.01
ROMARIO SILVA,MR 2,2022,11,0.1766,1.1639,0.3339,9.3731,295.42,3496.46,983.85
TOTAL_FROTA,TODAS,2022,11,0.291,1.7294,0.3848,12.6116,10078.4774,87452.47,7936.41
VICTOR OLIVEIRA,Suezmax,2022,11,0.8204,7.497,0.2467,10.1765,321.0,2725.5,273.25
BRUNO LIMA,Gaseiro 7k,2022,12,0.0434,0.4072,0.5967,28.2354,133.39,4087.0,300.26
CARLA SILVA,Aframax,2022,12,0.1442,1.2714,0.0351,7.1955,38.1,309.0,29.6
DANIEL PEREIRA,Aframax,2022,12,0.1668,1.1352,0.0945,13.5854,220.0,2107.3,228.21
EDUARDO COSTA,MR 2,2022,12,0.239,1.1248,0.2343,6.1705,191.81,1778.0,170.35
FELIPE RIBEIRO,Suezmax,2022,12,0.2392,2.3061,0.293,4.3434,1351.6,6076.0,579.83
FÁBIO SANTOS,Gaseiro 7k,2022,12,0.0442,0.4149,0.4668,26.7343,137.05,3808.0,323.51
GABRIELA MARTINS,Aframax,2022,12,0.2488,2.2558,0.27,7.402,642.5,5018.0,383.64
GISELLE CARVALHO,Suezmax,2022,12,0.2727,1.5388,0.2424,5.796,783.23,5025.5,544.64
HENRIQUE ALVES,Suezmax,2022,12,0.2928,1.9321,0.2039,6.4473,924.0,6494.6,500.5
LUCAS MENDONÇA,MR 2,2022,12,0.2288,0.9058,0.1023,8.4954,96.18,1098.1,103.39
MARCOS CAVALCANTI,Suezmax,2022,12,0.4816,2.5371,0.1396,5.5931,411.5,2751.0,231.38
MARIA VALENTINA,Gaseiro 7k,2022,12,0.0701,0.503,0.4717,18.0266,120.74,2763.0,241.25
PAULO MOURA,Suezmax,2022,12,0.1453,1.8028,0.4575,7.3452,938.5,6831.0,521.33
RAFAEL SANTOS,Suezmax,2022,12,0.167,1.7174,0.2063,7.525,778.377,5513.0,445.0
RAUL MARTINS,Suezmax,2022,12,0.149,1.5428,0.3653,7.8117,150.1,1242.1,98.8
RENATO GOMES,Aframax,2022,12,0.2291,1.4969,0.3294,6.0189,470.2438,3780.2,304.35
RICARDO BARBOSA,Gaseiro 7k,2022,12,0.06,0.5071,0.5449,19.887,158.7,3271.0,320.23
RODRIGO PINHEIRO,Aframax,2022,12,0.2321,1.2472,0.3458,7.694,657.91,6205.5,503.9
ROMARIO SILVA,MR 2,2022,12,0.2061,1.1164,0.2885,9.8431,362.05,3498.42,315.76
TOTAL_FROTA,TODAS,2022,12,0.192,1.3391,0.3111,11.2335,8833.9808,73243.72,6278.57
VICTOR OLIVEIRA,Suezmax,2022,12,0.1991,1.9074,0.2294,7.2508,268.0,1587.0,132.64
BRUNO LIMA,Gaseiro 7k,2023,1,0.0399,0.4915,0.6805,26.126,240.43,6710.0,541.42
CARLA SILVA,Aframax,2023,1,0.222,1.4292,0.0497,6.9921,58.0,365.5,43.2
DANIEL PEREIRA,Aframax,2023,1,0.1564,1.8142,0.3168,6.6811,1146.0,7762.0,622.67
EDUARDO COSTA,MR 2,2023,1,0.1668,0.9846,0.2116,9.2983,262.31,3278.0,253.4
FELIPE RIBEIRO,Suezmax,2023,1,0.2775,1.9886,0.237,4.6499,957.0,5092.7,478.67
FÁBIO SANTOS,Gaseiro 7k,2023,1,0.0394,0.4265,0.6958,51.5635,204.686,5996.5,493.74
GABRIELA MARTINS,Aframax,2023,1,0.2201,1.7843,0.1742,8.0331,389.3,3292.0,298.72
GISELLE CARVALHO,Suezmax,2023,1,0.6882,1.5333,0.0907,5.3527,382.8,2492.5,270.22
HENRIQUE ALVES,Suezmax,2023,1,0.2066,2.069,0.1985,7.1962,707.0,4980.0,371.48
LUCAS MENDONÇA,MR 2,2023,1,0.1642,1.2658,0.4494,9.0068,433.5,4178.3,325.44
MARCOS CAVALCANTI,Suezmax,2023,1,0.446,3.2903,0.2209,6.4935,545.0,4037.0,331.46
MARIA VALENTINA,Gaseiro 7k,2023,1,0.0373,0.3146,0.3625,33.2781,100.78,3760.0,355.34
PAULO MOURA,Suezmax,2023,1,0.1445,1.801,0.2373,7.1815,1155.0,8074.0,635.05
RAFAEL SANTOS,Suezmax,2023,1,0.1478,1.7263,0.2782,7.907,714.0,5640.0,415.47
RAUL MARTINS,Suezmax,2023,1,0.3222,2.2864,0.1085,7.0737,181.0,1531.8,119.56
RENATO GOMES,Aframax,2023,1,0.1603,1.5096,0.2435,7.5217,996.6584,8229.8,674.99
RICARDO BARBOSA,Gaseiro 7k,2023,1,0.0517,0.4638,0.5843,25.4408,168.175,3870.0,341.6
RODRIGO PINHEIRO,Aframax,2023,1,0.1321,1.5766,0.2859,7.7252,1190.81,9058.0,756.0
ROMARIO SILVA,MR 2,2023,1,0.1567,0.9729,0.5571,11.1423,234.96,3032.0,226.4
THIAGO FERNANDES,MR 2,2023,1,0.1318,0.9875,0.1772,9.5547,98.21,1088.5,88.35
TOTAL_FROTA,TODAS,2023,1,0.1909,1.4305,0.3241,13.7395,11164.1194,98231.89,8149.97
VICTOR OLIVEIRA,Suezmax,2023,1,0.2137,2.0841,0.2095,6.1803,998.5,5763.29,506.79
BRUNO LIMA,Gaseiro 7k,2023,2,0.0439,0.3962,0.4838,25.3452,109.31,2921.0,254.62
CARLA SILVA,Aframax,2023,2,0.1375,0.9345,0.0381,8.5906,63.4,581.0,65.1
DANIEL PEREIRA,Aframax,2023,2,0.2387,1.577,0.2234,6.3252,206.0,1586.0,137.33
EDUARDO COSTA,MR 2,2023,2,0.2882,0.7763,0.1344,12.3695,94.48,1587.0,112.65
FELIPE RIBEIRO,Suezmax,2023,2,0.1707,1.617,0.452,5.9638,855.0,4950.0,533.7
FÁBIO SANTOS,Gaseiro 7k,2023,2,0.0459,0.498,0.7534,23.784,201.05,5182.0,421.98
GABRIELA MARTINS,Aframax,2023,2,0.1877,1.4444,0.2119,6.6245,520.1,3655.0,325.56
GISELLE CARVALHO,Suezmax,2023,2,0.2391,1.8182,0.2221,5.613,663.11,4504.6,352.75
HENRIQUE ALVES,Suezmax,2023,2,0.2009,1.5385,0.2709,6.828,579.5,4460.0,331.13
LUCAS MENDONÇA,MR 2,2023,2,0.1328,1.0675,0.3297,9.1241,302.8,2979.7,257.27
MARCOS CAVALCANTI,Suezmax,2023,2,0.2474,1.5524,0.2466,8.6233,748.0,5777.0,526.63
MARIA VALENTINA,Gaseiro 7k,2023,2,0.0391,0.3705,0.6239,29.661,181.955,5354.0,490.83
PAULO MOURA,Suezmax,2023,2,0.1512,1.795,0.2295,6.8929,922.0,6374.0,515.2
RAFAEL SANTOS,Suezmax,2023,2,0.1545,1.7026,0.2911,8.4319,504.6,3314.0,309.02
RAUL MARTINS,Suezmax,2023,2,0.2085,2.0977,0.2478,5.3585,883.0,4962.0,393.56
RENATO GOMES,Aframax,2023,2,0.1792,1.5627,0.1961,7.7865,313.7,2818.5,251.38
RICARDO BARBOSA,Gaseiro 7k,2023,2,0.0385,0.3661,0.6045,28.4501,85.781,2560.0,218.17
RODRIGO PINHEIRO,Aframax,2023,2,0.2928,2.5108,0.2111,7.7763,378.996,3464.5,282.67
ROMARIO SILVA,MR 2,2023,2,0.3224,1.559,0.1874,7.7909,129.0,1169.0,115.74
THIAGO FERNANDES,MR 2,2023,2,0.1469,1.2396,0.1764,9.4825,142.7,1658.0,127.45
TOTAL_FROTA,TODAS,2023,2,0.1695,1.3502,0.3343,12.5408,8539.982,73992.3,6381.24
VICTOR OLIVEIRA,Suezmax,2023,2,0.2243,2.3124,0.3647,18.0235,655.5,4135.0,358.5
BRUNO LIMA,Gaseiro 7k,2023,3,0.0428,0.3912,0.5682,26.5525,200.58,5660.75,476.22
CARLA SILVA,Aframax,2023,3,0.1867,1.2618,0.0628,6.733,77.4,534.0,54.18
DANIEL PEREIRA,Aframax,2023,3,0.164,1.8025,0.3131,6.2814,1260.0,7568.0,683.42
EDUARDO COSTA,MR 2,2023,3,0.1136,0.7678,0.203,24.7671,132.6,1672.75,135.25
FELIPE RIBEIRO,Suezmax,2023,3,0.2355,2.3105,0.2861,4.7937,1322.3,6567.0,593.17
FÁBIO SANTOS,Gaseiro 7k,2023,3,0.0394,0.4189,0.6193,26.8238,146.208,4026.0,347.08
GABRIELA MARTINS,Aframax,2023,3,0.1693,1.3082,0.2127,7.6969,801.7,6210.5,568.37
GISELLE CARVALHO,Suezmax,2023,3,0.1578,1.9714,0.3398,7.9039,1044.0,6802.0,517.5
HENRIQUE ALVES,Suezmax,2023,3,0.4807,1.6821,0.1178,5.6914,342.0,2455.5,285.87
LUCAS MENDONÇA,MR 2,2023,3,0.1661,1.0944,0.2281,8.17,256.55,2660.0,220.91
MARCOS CAVALCANTI,Suezmax,2023,3,0.2674,1.5896,0.1625,5.8128,868.0,5656.0,495.18
MARIA VALENTINA,Gaseiro 7k,2023,3,0.0552,0.4347,0.4402,23.5525,91.448,2551.0,213.84
PAULO MOURA,Suezmax,2023,3,0.2265,1.6282,0.1629,5.4222,382.33,2288.0,199.2
RAFAEL SANTOS,Suezmax,2023,3,0.1544,1.9661,0.3518,6.6425,893.6,5757.0,423.39
RAUL MARTINS,Suezmax,2023,3,0.2638,2.5736,0.2647,5.1924,826.6,4688.0,365.07
RENATO GOMES,Aframax,2023,3,0.1302,1.5104,0.2849,7.9978,1114.75,8655.0,741.9
RICARDO BARBOSA,Gaseiro 7k,2023,3,0.039,0.4027,0.6606,27.8418,168.59,4944.0,434.22
RODRIGO PINHEIRO,Aframax,2023,3,0.1618,1.6189,0.2674,7.3074,911.361,6999.5,564.57
ROMARIO SILVA,MR 2,2023,3,0.2646,0.9695,0.3857,9.229,65.0,738.0,57.59
THIAGO FERNANDES,MR 2,2023,3,0.1386,1.177,0.4049,10.6684,318.45,3716.0,292.18
TOTAL_FROTA,TODAS,2023,3,0.1712,1.3852,0.3298,11.8318,12242.407,95412.0,8144.41
VICTOR OLIVEIRA,Suezmax,2023,3,0.2277,2.2227,0.2513,5.3904,1018.94,5263.0,475.3
BRUNO LIMA,Gaseiro 7k,2023,4,0.0563,0.3954,0.5223,25.2641,147.88,4159.9,337.91
CARLA SILVA,Aframax,2023,4,0.1512,1.1618,0.0369,9.2239,47.4,444.0,44.23
DANIEL PEREIRA,Aframax,2023,4,0.1786,1.5744,0.3381,8.368,457.0,3803.0,293.97
EDUARDO COSTA,MR 2,2023,4,0.1156,1.008,0.253,10.9575,222.85,2351.0,197.1
FELIPE RIBEIRO,Suezmax,2023,4,0.2222,1.4693,0.3151,5.5067,988.4,5017.0,690.6
FÁBIO SANTOS,Gaseiro 7k,2023,4,0.5067,5.1803,1.4826,35.0953,296.51,3085.0,246.98
GABRIELA MARTINS,Aframax,2023,4,0.1421,1.2525,0.3421,9.9419,581.5,5382.0,426.77
GISELLE CARVALHO,Suezmax,2023,4,0.2351,2.7517,0.1166,8.548,342.5,2406.0,182.56
HENRIQUE ALVES,Suezmax,2023,4,0.2179,1.7059,0.1248,6.9082,298.0,2221.8,187.06
LUCAS MENDONÇA,MR 2,2023,4,0.1382,1.1314,0.2447,8.3989,270.14,2861.0,234.23
MARCOS CAVALCANTI,Suezmax,2023,4,0.2315,1.6226,0.401,7.3408,641.0,4927.0,397.47
MARIA VALENTINA,Gaseiro 7k,2023,4,0.0904,0.5294,0.4971,18.1027,96.85,2548.0,208.66
PAULO MOURA,Suezmax,2023,4,0.1521,1.7351,0.391,9.4098,1081.35,7984.0,609.4
RAFAEL SANTOS,Suezmax,2023,4,0.2344,2.5339,0.3532,5.5755,768.0,4778.0,358.48
RAUL MARTINS,Suezmax,2023,4,0.1874,1.9354,0.2282,5.5344,1123.0,6426.0,575.84
RENATO GOMES,Aframax,2023,4,0.1518,1.6247,0.3276,7.8486,400.45,3709.0,290.36
RICARDO BARBOSA,Gaseiro 7k,2023,4,0.036,0.4049,0.6293,27.9829,159.64,4428.0,363.92
RODRIGO PINHEIRO,Aframax,2023,4,0.1869,1.2524,0.1773,7.5922,468.49,3631.0,313.3
THIAGO FERNANDES,MR 2,2023,4,0.0938,1.0486,0.3284,11.8318,186.5,2288.0,174.34
TOTAL_FROTA,TODAS,2023,4,0.1743,1.5996,0.3789,12.1514,9256.96,76327.7,6495.18
VICTOR OLIVEIRA,Suezmax,2023,4,0.1817,1.8701,0.2233,5.692,679.5,3878.0,362.0
BRUNO LIMA,Gaseiro 7k,2023,5,0.0432,0.3841,0.5557,26.8862,166.6,4879.1,391.9
CARLA SILVA,Aframax,2023,5,0.128,1.2937,0.025,8.5682,34.15,349.4,28.27
DANIEL PEREIRA,Aframax,2023,5,0.1688,1.7669,0.275,6.7951,936.0,6690.0,564.14
EDUARDO COSTA,MR 2,2023,5,0.2675,1.3023,0.256,7.342,223.18,2171.0,183.87
FELIPE RIBEIRO,Suezmax,2023,5,0.2555,2.5051,0.3229,4.1457,799.0,3562.0,322.6
FÁBIO SANTOS,Gaseiro 7k,2023,5,0.0316,0.3445,0.4618,36.3633,114.17,3759.0,305.87
GABRIELA MARTINS,Aframax,2023,5,0.1603,1.4509,0.2441,7.4042,605.2,4418.0,376.92
GISELLE CARVALHO,Suezmax,2023,5,0.225,2.4362,0.1305,9.5568,376.7,2832.0,218.54
HENRIQUE ALVES,Suezmax,2023,5,0.1693,2.0401,0.2541,6.0976,1297.0,8128.0,630.43
